name,website,hq_country,hq_city,founded,category,subsector,modality,company_type,status,description,notes
Archer Materials,https://www.archerx.com.au,Australia,Adelaide,2007,Quantum Computing Hardware,room-temperature carbon qubit chip,spin/silicon,public-company,active,ASX-listed firm developing the carbon-based 12CQ room-temperature qubit chip alongside A1 Biochip products.,"ASX:AXE, based at Lot Fourteen, Adelaide. Quantum program from ~2018; CEO Mohammad Choucair."
Arque Systems,https://www.arque.systems,Germany,Aachen,2022,Quantum Computing Hardware,Quantum computers,spin/silicon,startup,active,Silicon spin-qubit quantum computing hardware with integrated on-chip cryo-CMOS control.,"RWTH Aachen/Forschungszentrum Juelich (JARA) spin-off; HQ is Aachen, not Munich; canonical site arque.systems."
Atlantic Quantum,https://www.atlantic-quantum.com,United States,"Cambridge, MA",2022,Quantum Computing Hardware,Superconducting fluxonium,superconducting,startup,acquired,Superconducting fluxonium qubits with co-located cryogenic control electronics; MIT (EQuS) spinout.,Acquired by Google Quantum AI (Oct 2025). Previously selected for DARPA QBI.
Atom Computing,https://atom-computing.com,United States,"Berkeley, CA",2018,Quantum Computing Hardware,Full-stack neutral-atom,neutral-atom,startup,active,"Neutral-atom quantum computing; first platform to surpass 1,000 physical qubits; partners with Microsoft.","Founded by Ben Bloom and Jonathan King. HQ in Berkeley with a Boulder, CO operations facility; selected for DARPA QBI."
AWS Center for Quantum Computing,https://aws.amazon.com/braket/,United States,"Pasadena, CA",2019,Quantum Computing Hardware,Superconducting cat qubits,superconducting,big-tech-division,active,AWS quantum effort: Braket cloud aggregates multiple QPUs/simulators; in-house Center develops cat-qubit hardware (Ocelot).,Ocelot chip announced 2025; Braket also aggregates third-party QPUs.
BardeenQ Labs,https://www.bardeenq.com,United States,"Houston, Texas",2019,Quantum Computing Hardware,Room-temperature quantum hardware,,startup,uncertain,Develops room-temperature quantum machines and spins out subsidiary quantum-tech startups ('Roivant for quantum') for Industry 4.0.,"Houston, TX; named after John Bardeen, led by Ayo Kolapo (Univ. of Houston). Little recent activity; room-temperature claims unverified. Site http://bardeenq.com."
Bleximo,https://www.bleximo.com,United States,"Berkeley, CA",2017,Quantum Computing Hardware,Superconducting accelerators,superconducting,startup,uncertain,Application-specific superconducting quantum accelerators; co-designs hardware/software for targeted problems.,Founded by Alexei Marchenkov. Listed among active Bay Area firms but little recent public activity; status hard to confirm.
Bose Quantum / QBoson (玻色量子),https://www.qboson.com,China,Beijing,2020,Quantum Computing Hardware,Coherent photonic Ising machines,photonic,startup,active,Builds room-temperature coherent photonic quantum computers (optical Ising machines) for optimization problems.,Canonical site qboson.com (boseq.com not reachable). Raised ~$145M (CNY 1B) Series B in 2026; opened Shenzhen photonic QC factory Nov 2025.
Buchou Quantum (不筹量子),,China,Shanghai,2025,Quantum Computing Hardware,Neutral-atom quantum computing,neutral-atom,startup,active,Neutral-atom quantum computing company spun off from Fudan University (Li Xiaopeng's lab).,Angel round completed late 2025. No standalone website confirmed.
C12 Quantum Electronics,https://www.c12qe.com,France,Paris,2020,Quantum Computing Hardware,Carbon-nanotube spin qubits,spin/silicon,startup,active,Quantum processors based on electron spins in suspended carbon nanotubes.,ENS Paris spinout; PROQCIMA-selected.
CAS Cold Atom Technology / Zhongke Kuyuan (中科酷原),https://cascoldatom.com,China,Wuhan,2020,Quantum Computing Hardware,Neutral-atom quantum computers & atomic gravimeters,neutral-atom,national-lab-or-spinout,active,Builds neutral-atom quantum computers (Hanyuan series) and portable cold-atom quantum gravimeters; CAS Wuhan spinout.,Canonical site cascoldatom.com (casca.cn not confirmed). Hanyuan-1 entered commercial use Oct 2025; Hanyuan-2 200-qubit dual-core system unveiled May 2026.
Creotech Instruments / Creotech Quantum,https://creotechquantum.pl,Poland,Piaseczno (Warsaw area),2012,Quantum Computing Hardware,Quantum control electronics / quantum computer,superconducting,public-company,active,"Polish maker of quantum control electronics, QKD and a domestic superconducting quantum computer for the EU.",Quantum unit demerged from Creotech Instruments and IPO'd on Warsaw Stock Exchange as Creotech Quantum on 17 Apr 2026.
Crystal Quantum Computing,https://www.crystalqc.io,France,Paris,2021,Quantum Computing Hardware,Rydberg trapped-ion processors,trapped-ion,startup,active,Trapped-ion quantum computer combining ion-crystal stability with fast Rydberg gates.,Launched 2021; Telecom Paris incubated; BPI France deeptech; site is crystalqc.io (not crystalquantumcomputing.com).
D-Wave Quantum,https://www.dwavequantum.com,United States,"Palo Alto, CA",1999,Quantum Computing Hardware,Annealing + gate-model,annealing,public-company,active,World's first commercial quantum computer supplier; quantum annealing (Advantage) plus an emerging gate-model roadmap.,"NYSE: QBTS. Canadian roots, major US operations; acquiring Quantum Circuits Inc. ($550M, announced 2026)."
Diraq,https://www.diraq.com,Australia,Sydney,2022,Quantum Computing Hardware,Silicon spin qubits,spin/silicon,startup,active,UNSW spinout building silicon-CMOS spin-qubit processors on standard semiconductor fabs; led by Andrew Dzurak.,"HQ Sydney, Australia; US labs in Palo Alto and Chicago. $38M CHIPS Act planned funding; DARPA QBI."
Duality Quantum Photonics,https://www.dualityqp.com/,United Kingdom,Bristol,2020,Quantum Computing Hardware,Integrated quantum photonic processors,photonic,national-lab-or-spinout,active,Integrated photonic processors and chips for quantum computing; University of Bristol-linked spinout.,"Canonical site is dualityqp.com (not dualityquantumphotonics.com); HQ is Bristol, not London. Co-founded by Anthony Laing/Alberto Politi."
e-Spin (易思旋磁),,China,,2025,Quantum Computing Hardware,Spintronic / magnetic combinatorial-optimization chips,spin/magnetic,startup,active,Develops room-temperature 'magnetic' (spintronic) combinatorial-optimization chips; quantum-inspired approach.,Quantum-inspired (not gate-based quantum). Seed round Nov 2025. No standalone website confirmed.
EeroQ,https://eeroq.com,United States,"Chicago, IL",2016,Quantum Computing Hardware,Electron-on-helium qubits,electron-on-helium,startup,active,"Builds quantum processors using electrons trapped on superfluid helium, a CMOS-compatible approach.","HQ in Chicago. Demonstrated single-electron control above 1 K (2025, Physical Review X)."
eleQtron,https://eleqtron.com/,Germany,Siegen,2020,Quantum Computing Hardware,Quantum computers,trapped-ion,national-lab-or-spinout,active,Trapped-ion quantum computers using microwave/RF-controlled MAGIC technology instead of lasers.,University of Siegen spin-off; raised EUR 57m Series A (2026).
Equal1,https://www.equal1.com,Ireland,Dublin,2017,Quantum Computing Hardware,Silicon spin qubits,spin/silicon,startup,active,CMOS silicon spin-qubit quantum chips; UnityQ system-on-chip integrates quantum and classical components.,University College Dublin spinout; HQ Dublin with US/Canada/Romania/Netherlands offices. Unveiled rack-mounted RacQ system.
Fujitsu,https://www.fujitsu.com/,Japan,Tokyo,1935,Quantum Computing Hardware,Full-stack superconducting + Digital Annealer,superconducting,big-tech-division,active,Co-developed 256-qubit superconducting machine with RIKEN; offers Digital Annealer quantum-inspired optimizer.,"256-qubit system unveiled Apr 2025 with RIKEN; targeting 1,000+ and 10,000+ qubit STAR-architecture systems."
Google Quantum AI,https://quantumai.google,United States,"Santa Barbara, CA",2012,Quantum Computing Hardware,Full-stack superconducting,superconducting,big-tech-division,active,"Google's quantum division builds superconducting processors (Sycamore, Willow) focused on error correction and supremacy.",Quantum supremacy (2019) and error-correction milestone with Willow (2024). Acquired Atlantic Quantum (2025).
Groove Quantum,https://groovequantum.com,Netherlands,Delft,2024,Quantum Computing Hardware,Germanium spin qubits,spin/silicon,startup,active,Germanium-based spin-qubit quantum processors compatible with semiconductor manufacturing.,QuTech spinout (2024); unveiled 18-qubit spin processor in 2026.
Hewlett Packard Enterprise (HPE),https://www.hpe.com,United States,"Houston, TX",2015,Quantum Computing Hardware,Superconducting / quantum-HPC integration,superconducting,big-tech-division,active,"Hewlett Packard Labs leads a quantum-HPC integration framework selected for DARPA QBI, with Qolab on superconducting HW.",DARPA QBI Stage A; acts as system integrator across modalities (superconducting hardware via partner Qolab/J. Martinis).
Hitachi,https://www.hitachi.com/,Japan,Tokyo,1910,Quantum Computing Hardware,Silicon spin qubits + CMOS annealing,spin/silicon,big-tech-division,active,R&D in silicon spin-qubit technology and a CMOS quantum-annealing chip for combinatorial optimization.,Silicon spin qubit research at Hitachi Cambridge Lab; new qubit-control method extending coherence presented 2024.
Hon Hai Research Institute (Foxconn) Quantum Computing Center,https://www.honhai.com,Taiwan,New Taipei City,2020,Quantum Computing Hardware,Trapped-ion R&D & quantum communications,trapped-ion,big-tech-division,active,Foxconn research arm running Taiwan's first trapped-ion quantum lab (opened 2023); roadmap to prototype by 2027.,Trapped-ion lab opened Oct 2023; >50-ion arrays by mid-2025; partners with QunaSys on fermionic encoding.
Honeywell Quantum,https://www.honeywell.com/us/en/company/quantum,United States,"Charlotte, NC",2014,Quantum Computing Hardware,Trapped-ion hardware (via Quantinuum stake),trapped-ion,big-tech-division,active,Honeywell originated trapped-ion quantum hardware and remains the largest (~54%) shareholder of Quantinuum.,HQS folded into Quantinuum in 2021; Quantinuum filed for IPO May 2026. Honeywell still majority owner.
HRL Laboratories,https://www.hrl.com,United States,"Malibu, CA",1948,Quantum Computing Hardware,Silicon spin qubits,spin/silicon,national-lab-or-spinout,active,Research lab demonstrating universal control of encoded silicon (Si/SiGe) spin qubits via voltage pulses.,Owned by Boeing and GM; major DARPA/IARPA spin-qubit research contractor.
Hyqubit (华翊量子 / Huayi Quantum),https://www.hyqubit.com,China,Beijing,2022,Quantum Computing Hardware,Ion-trap quantum processors,trapped-ion,startup,active,"Develops trapped-ion quantum processors and cloud; Tsinghua spinout from Duan Luming's group, 100+ qubit systems.",Founded Jan 2022 from Tsinghua Quantum Information Center (Duan Luming). Raised hundreds of millions yuan Series A.
IBM Quantum,https://www.ibm.com/quantum,United States,"Yorktown Heights, NY",2016,Quantum Computing Hardware,Full-stack superconducting,superconducting,big-tech-division,active,"IBM's quantum division builds superconducting QPUs (Heron, Condor) and the Qiskit stack, targeting fault-tolerant systems.",Roadmap toward fault-tolerant 'Starling' by 2029. Largest cloud-accessible superconducting fleet.
infinityQ Technology,https://www.infinityq.tech,Canada,Montreal,2020,Quantum Computing Hardware,Room-temperature analog computing,analog,startup,active,Room-temperature quantum-analog computing hardware (infinityQube) targeting optimization problems.,Founded 2020 in Montreal by Aurelie Helouis and Jean-Michel Sellier (ex-MILA).
Infleqtion,https://www.infleqtion.com,United States,"Boulder, CO",2007,Quantum Computing Hardware,Full-stack neutral-atom + sensing,neutral-atom,public-company,active,"Cold-atom firm: Tiqker optical clock, Rydberg RF sensors, inertial sensing, and neutral-atom computing (Superstaq SW).","NYSE: INFQ; first neutral-atom company public (SPAC, Feb 2026). Formerly ColdQuanta. Strong in quantum sensing/clocks."
Intel Quantum,https://www.intel.com/content/www/us/en/research/quantum-computing.html,United States,"Hillsboro, OR",2015,Quantum Computing Hardware,Silicon spin qubits,spin/silicon,big-tech-division,active,Develops silicon spin-qubit chips (Tunnel Falls) and cryogenic control electronics (Horse Ridge) via its CMOS fabs.,Leverages Intel's semiconductor manufacturing for scalability.
IonQ,https://ionq.com,United States,"College Park, MD",2015,Quantum Computing Hardware,Full-stack trapped-ion,trapped-ion,public-company,active,"First pure-play public quantum company; builds trapped-ion processors (Forte, Tempo) and quantum networking systems.",NYSE: IONQ. Acquired Oxford Ionics (completed 2025) and chipmaker SkyWater (announced 2026).
IQM Quantum Computers,https://www.meetiqm.com,Germany,Munich,2018,Quantum Computing Hardware,Quantum computers,superconducting,scaleup,active,Builds full-stack superconducting quantum computers for HPC centres and research.,"Primary HQ is Helsinki, Finland; large Munich operations. Listed under Germany for completeness."
Jiuzhang Quantum (九章量子),,China,Hefei,,Quantum Computing Hardware,Photonic boson-sampling processors,photonic,national-lab-or-spinout,uncertain,Name tied to USTC's Jiuzhang photonic boson-sampling processors; no confirmed commercial company of this name.,"Jiuzhang is a USTC/CAS research processor (4.0 in 2026), NOT a confirmed commercial spinout. The photonic commercial spinout from this ecosystem is TuringQ (Shanghai). No 'Jiuzhang Quantum' company or website verified."
Liangyi Wanxiang / Atom to Infinity (量羽万象),,China,Beijing,2024,Quantum Computing Hardware,Neutral-atom quantum computers,neutral-atom,startup,active,Full-stack neutral-atom quantum computer startup spun out of Tsinghua University; first machine targeted ~2027.,Correct name is Liangyi Wanxiang (量羽万象). Founded July 2024; raised >100M RMB Series A (2026). No standalone website confirmed.
LogicBit (逻辑比特),,China,Hangzhou,2024,Quantum Computing Hardware,Error-correctable superconducting chips,superconducting,startup,active,Develops error-correctable superconducting quantum chips and QEC systems; Zhejiang University spinout.,Spun off from Zhejiang University; released Mogan-1 and Tianmu-1 chips. Pre-A round Oct 2025. No standalone website confirmed.
MatriQ / Atomic Matrix (原子矩阵),,China,Hangzhou,2025,Quantum Computing Hardware,Neutral-atom Rydberg quantum computers,neutral-atom,startup,active,Full-stack Rydberg dynamic tweezer-array neutral-atom quantum computers; from USTC/Pan Jianwei-linked team.,Seed round completed November 2025; incubated by Light Capital. No standalone website confirmed.
Microsoft Quantum,https://azure.microsoft.com/en-us/solutions/quantum-computing,United States,"Redmond, WA",2017,Quantum Computing Hardware,Topological / full-stack,topological,big-tech-division,active,"Pursues topological qubits (Majorana 1 chip, 2025) and runs Azure Quantum cloud aggregating multiple hardware backends.","Majorana 1 unveiled Feb 2025. Azure Quantum partners with Quantinuum, IonQ, Atom Computing. Research roots in Station Q (2005)."
Nanofiber Quantum Technologies (NanoQT),https://nano-qt.com/,Japan,Tokyo,2022,Quantum Computing Hardware,Nanofiber cavity-QED neutral-atom QC,neutral-atom,startup,active,Nanofiber cavity-QED interconnects for modular/networked neutral-atom quantum processors.,"Raised $14M Series A (2025). Multi-site: offices in Tokyo, Palo Alto CA, and College Park MD; often listed as a Japanese startup."
NEC,https://www.nec.com/,Japan,Tokyo,1899,Quantum Computing Hardware,Quantum annealing + gate-based research,annealing,big-tech-division,active,Develops superconducting quantum-annealing machines and LHZ-architecture units for fully-connected optimization.,Demonstrated first solid-state qubit in 1999; LHZ unit cell with ParityQC (2022); vector-annealing and gate-based work.
neQxt,https://neqxt.com,Germany,Erlenbach am Main,2022,Quantum Computing Hardware,Quantum computers,trapped-ion,startup,active,"Full-stack trapped-ion quantum computing systems, hardware and software.","JGU Mainz (Schmidt-Kaler group) spin-off; founded 2022, not 2023."
Nord Quantique,https://nordquantique.com,Canada,Sherbrooke,2020,Quantum Computing Hardware,Bosonic error-corrected qubits,superconducting,scaleup,active,Fault-tolerant superconducting quantum computers using bosonic (cavity) qubits for hardware-efficient error correction.,"Universite de Sherbrooke spinout; ~US$1.4B valuation (Fidelity-backed, 2026). Canadian Quantum Champions Program awardee."
NTT (NTT Research / Coherent Ising Machine),https://group.ntt/en/,Japan,Tokyo,1985,Quantum Computing Hardware,Photonic / Coherent Ising Machine,photonic,big-tech-division,active,Telecom giant developing photonic Coherent Ising Machines and optical quantum computing (with OptQC/UTokyo).,Signed OptQC collaboration Nov 2025 toward 1M-qubit optical computer by 2030; runs Coherent Ising Machine cloud.
NTT Research / NTT Quantum,https://ntt-research.com/physics-and-informatics-lab/,United States,"Sunnyvale, CA",,Quantum Computing Hardware,Coherent Ising Machine (photonic) + basic research,photonic,big-tech-division,active,NTT Research runs the photonic Coherent Ising Machine platform and deep quantum/optical basic research; parent NTT is Tokyo-based.,NTT Research is the US arm (Sunnyvale). NTT co-developed Japan's first superconducting quantum computer with RIKEN/AIST (2023).
OptQC Corp.,https://optqc.com/,Japan,Tokyo,2021,Quantum Computing Hardware,Room-temperature optical quantum computer,photonic,startup,active,Builds scalable room-temperature optical quantum computers using time-domain multiplexing (UTokyo Furusawa Lab).,"Founding year ambiguous (research-origin 2021; some sources cite Sept 2024 incorporation). NTT partner; targeting 10k qubits 2027, 1M by 2030."
Oratomic,https://www.oratomic.com,United States,"Pasadena, CA",2026,Quantum Computing Hardware,Full-stack neutral-atom,neutral-atom,startup,active,"Neutral-atom startup building utility-scale, fault-tolerant quantum computers; founded by Caltech/Harvard pioneers.",Launched March 2026 from Caltech (Endres/Faraon) and Harvard research; team includes John Preskill.
ORCA Computing,https://orcacomputing.com/,United Kingdom,London,2019,Quantum Computing Hardware,Room-temperature photonic quantum computing,photonic,national-lab-or-spinout,active,Full-stack photonic quantum computers (PT-1/PT-2) using telecom-grade components and quantum memories; Oxford spinout.,"London HQ with Toronto and Austin offices; founders Ian Walmsley, Richard Murray, Josh Nunn; raised $37M Series B Nov 2025."
Origin Quantum (本源量子),https://www.originqc.com.cn,China,Hefei,2017,Quantum Computing Hardware,Full-stack superconducting quantum computers,superconducting,national-lab-or-spinout,active,"China's leading full-stack superconducting quantum computer maker; builds chips, control electronics, software and Wukong cloud machine.","USTC-linked spinout in Hefei (founded 2017); operates Origin Wukong (now 4th-gen, 180 qubits) and open-sourced the Origin Pilot OS."
Oxford Ionics,https://www.oxionics.com/,United Kingdom,Oxford,2019,Quantum Computing Hardware,Trapped-ion-on-a-chip,trapped-ion,national-lab-or-spinout,acquired,Trapped-ion quantum computing with electronic qubit control on silicon chips; Oxford University spinout.,"Acquired by IonQ (US), deal completed Sept 2025 (~$1.075B); UK operations remain in Oxford."
Oxford Quantum Circuits,https://oqc.tech,United Kingdom,Reading,2017,Quantum Computing Hardware,Superconducting,superconducting,scaleup,active,"Superconducting quantum processors using its proprietary Coaxmon 3D architecture, offered as Quantum-Compute-as-a-Service; Oxford University spinout.","HQ at Thames Valley Science Park, Shinfield (Reading), Berkshire."
Pasqal,https://www.pasqal.com,France,Massy,2019,Quantum Computing Hardware,Quantum processors,neutral-atom,scaleup,active,Neutral-atom quantum processors and analog/digital quantum computers; going public via Bleichroeder SPAC.,"Co-founded with Nobel laureate Alain Aspect; PROQCIMA-selected; SPAC merger with Bleichroeder Acquisition Corp II (~$2B), expected close H2 2026."
Peak Quantum,https://peakquantum.de,Germany,Munich,2024,Quantum Computing Hardware,Quantum computers,superconducting,startup,active,Inherently error-protected superconducting quantum processors aimed at scalable fault tolerance.,Walther-Meissner-Institute (WMI) Garching spin-off; canonical site is peakquantum.de.
Photonic Inc.,https://photonic.com,Canada,Burnaby,2016,Quantum Computing Hardware,Silicon spin-photon qubits,spin/silicon,scaleup,active,Builds networking-first silicon-spin (T-centre) quantum systems with telecom-band photonic links for distributed networks.,Founded by Stephanie Simmons (SFU). ~US$2B valuation after $200M round (Canadian quantum unicorn).
Planckian,https://www.planckian.co,Italy,Pisa,2023,Quantum Computing Hardware,Superconducting QPUs / quantum batteries,superconducting,national-lab-or-spinout,active,"Develops superconducting quantum processors with shared-control architecture, plus quantum-battery energy tech.",Canonical site is planckian.co (record had planckian.tech); spin-off of U. Pisa and Scuola Normale Superiore; ~EUR 2.7M pre-seed.
planqc,https://planqc.eu/,Germany,Garching,2022,Quantum Computing Hardware,Quantum computers,neutral-atom,national-lab-or-spinout,active,Neutral-atom quantum computers using atoms in optical lattices; MPQ spinout targeting large-scale systems.,Max Planck Institute of Quantum Optics spinout; Munich Quantum Valley.
PsiQuantum,https://www.psiquantum.com,United States,"Palo Alto, CA",2015,Quantum Computing Hardware,Full-stack photonic,photonic,scaleup,active,Building a fault-tolerant photonic quantum computer using silicon photonics (Omega) made at GlobalFoundries.,Deployment sites in Brisbane and Chicago. Targeting a million-qubit machine.
Q-Factor,https://www.q-factor.io/,Israel,Rehovot,2025,Quantum Computing Hardware,Neutral-atom quantum computing,neutral-atom,startup,active,Neutral-atom quantum computing startup aiming to scale beyond one million qubits via a new system architecture.,"Founded by Weizmann/Technion physicists; $24M seed (NFX, TPY, Intel Capital) out of stealth Apr 2026."
Qarakal Quantum,https://qarakal.ai,Israel,Jerusalem,2023,Quantum Computing Hardware,Full-stack superconducting QPUs,superconducting,startup,active,Full-stack superconducting quantum company building QPUs and a software stack for novel gates and circuits.,"Website corrected to qarakal.ai. Founded ~2023 by Dr. Nissan Maskil (CEO) and Prof. Nadav Katz (CTO) with IAI/ELTA, Yissum, Omnisys."
QC82,https://www.qc82.tech,United States,"Charlottesville, VA",2022,Quantum Computing Hardware,Photonic continuous-variable,photonic,startup,active,Integrated photonic chips for room-temperature fault-tolerant quantum computing; continuous-variable approach.,"University of Virginia spinout (canonical site is qc82.tech, not .com); on-chip photon-number-resolving detectors."
QDaria,https://qdaria.com,Norway,Oslo,2025,Quantum Computing Hardware,Topological/software,topological,startup,active,Early-stage startup pursuing topological (Fibonacci-anyon) quantum computing plus quantum AI software.,"Founded early 2025, Oslo. Currently runs algorithms on cloud hardware (e.g. IBM); own hardware is at research stage."
Qilimanjaro Quantum Tech,https://qilimanjaro.tech,Spain,Barcelona,2019,Quantum Computing Hardware,Analog/superconducting full-stack quantum computers,superconducting,national-lab-or-spinout,active,Builds analog and superconducting full-stack quantum computers; contributing to Spain's quantum computer at BSC.,"Founded 2019 (record had 2018) as spin-off of UB, BSC and IFAE; co-founder Jose Ignacio Latorre."
QpiAI,https://www.qpiai.tech,India,Bengaluru,2019,Quantum Computing Hardware,Full-stack superconducting quantum computer,superconducting,scaleup,active,Full-stack quantum + AI firm; built India's first 25-qubit superconducting computer (QpiAI-Indus) under National Quantum Mission.,Lead vehicle under India's National Quantum Mission; most-funded Indian quantum firm. HQ Bengaluru with offices in California and Finland.
QuamCore,https://www.quamcore.com,Israel,Herzliya,2022,Quantum Computing Hardware,Scalable superconducting architecture,superconducting,startup,active,Designs a superconducting architecture targeting one million qubits in a single cryostat via in-cryostat control logic.,"Founded 2022, Herzliya; $26M Series A (Aug 2025), ~$35M total incl. Israel Innovation Authority grant."
Quandela Quantum (Canada),https://www.quandela.com/,Canada,Montreal,2017,Quantum Computing Hardware,Photonic quantum computers,photonic,startup,active,Photonic quantum computers from single-photon sources; Belenos (12-qubit) and Canopus (24-qubit) systems.,"Parent Quandela is French (founded 2017). Canadian subsidiary is 'Quandela Canada' (Montreal), launched 2024."
Quanfluence,https://quanfluence.com,India,Bengaluru,2021,Quantum Computing Hardware,Photonic/optical Ising machines,photonic,startup,active,Photonics-based optical Ising machines and quantum-inspired hardware for high-speed optimization problems.,"Co-founded by Anil Prabhakar; raised ~$2M seed led by pi Ventures. Mostly listed as Bengaluru, one recent source cited Pune presence."
QUANTier,https://www.quantier.tech,Hong Kong,Hong Kong,2022,Quantum Computing Hardware,Neutral-atom quantum processors,neutral-atom,startup,active,"Builds room-temperature neutral-atom QPUs using laser-controlled atoms, delivered via cloud.",HKUST spinout (2022); backed by ParticleX and HKUST Entrepreneurship Fund. Canonical website quantier.tech could not be confirmed reachable; company is real and active.
Quantinuum,https://www.quantinuum.com,United States,"Broomfield, CO",2021,Quantum Computing Hardware,Full-stack trapped-ion,trapped-ion,public-company,active,Full-stack trapped-ion company (TKET compiler) formed by merging Honeywell Quantum Solutions and Cambridge Quantum.,"Nasdaq IPO June 2026 (~$17.6B valuation); Honeywell majority owner. Industry-leading gate fidelities. European HQ in Cambridge, UK."
Quantum Art,https://www.quantum-art.tech,Israel,Rehovot,2022,Quantum Computing Hardware,Trapped-ion multi-core quantum computers,trapped-ion,startup,active,"Builds parallelized, reconfigurable multi-core trapped-ion quantum computers with multi-qubit gates and all-to-all connectivity.","Weizmann spin-off (2022), lab in Ness Ziona; Series A extended to $140M (total ~$124M+). Demonstrated 200-ion chain."
Quantum Brilliance,https://quantumbrilliance.com,Germany,Stuttgart,2019,Quantum Computing Hardware,Quantum computers,NV-center/diamond,startup,active,ANU spinout building room-temperature diamond NV-center quantum accelerators.,Australian-German; dual HQ Canberra (AU) and Stuttgart (DE European HQ). Commercial diamond foundry opened in Melbourne.
Quantum Circuits Inc.,https://quantumcircuits.com,United States,"New Haven, CT",2015,Quantum Computing Hardware,Superconducting dual-rail,superconducting,startup,acquired,Dual-rail cavity superconducting qubits with hardware-level error detection; Yale (Schoelkopf/Devoret) spinout.,"Being acquired by D-Wave ($550M, announced 2026); New Haven R&D center to continue."
Quantum Computing Inc. (QCi),https://quantumcomputinginc.com,United States,"Hoboken, NJ",2018,Quantum Computing Hardware,Photonic optimization / room-temp,photonic,public-company,active,Photonic 'Entropy Quantum Computing' optimization machines (Dirac series) and thin-film lithium niobate photonic chips.,"NASDAQ: QUBT. Also pursues photonic sensing, LiDAR, and QRNG."
Quantum Fabrix,https://www.qfx.io,United Kingdom,Kidlington (Oxford),2024,Quantum Computing Hardware,Trapped-ion,trapped-ion,startup,active,University of Oxford spinout building modular trapped-ion quantum hardware and atomic sources.,Trades as QFX; canonical site qfx.io (record had quantumfabrix.com). At Begbroke Science Park; seed round Oct 2025.
Quantum Motion,https://quantummotion.com/,United Kingdom,London,2017,Quantum Computing Hardware,Silicon CMOS spin qubits,spin/silicon,national-lab-or-spinout,active,Silicon spin-qubit quantum processors built with standard 300mm CMOS processes; UCL/Oxford spinout.,London HQ; founders John Morton (UCL) & Simon Benjamin (Oxford); canonical site quantummotion.com (corrected from .tech); $160M Series C May 2026.
Quantum Source,https://www.qs-labs.com,Israel,Rehovot,2021,Quantum Computing Hardware,Photonic fault-tolerant quantum computing,photonic,startup,active,Photonic fault-tolerant quantum computers using single atoms on photonic chips for deterministic atom-photon gates (ORIGIN engine).,Website corrected to qs-labs.com. Founded 2021 (Weizmann-linked); ~$77M incl. $50M Series A; lab at Ness Ziona Science Park.
Quantum Transistors,https://quantumtransistors.com,Israel,Herzliya,2022,Quantum Computing Hardware,Solid-state qubit processors,spin/silicon,startup,active,Develops single-chip solid-state quantum processors (now diamond-based) with native photonic interconnects for data centers.,Website added; HQ corrected to Herzliya; founded 2022. Received EUR 17.5M from the European Innovation Council; runs own diamond fab.
QuantumSphere Technologies,https://www.linkedin.com/company/quantum-sphere-technologies-qst,Kenya,Nairobi,,Quantum Computing Hardware,Quantum hardware/software,,startup,uncertain,Early-stage Kenyan startup reportedly pursuing quantum hardware and software solutions.,"Existence unverified: only appears in a single Silicon Africa listicle, which lists a mismatched website (algeriaqcc.com). The quantumspheretechnologies.net domain redirects to a Texas IT-staffing firm (qspheretech.com), unrelated to quantum. No independent corroboration found; likely fabricated or non-operational."
QuantWare,https://quantware.com,Netherlands,Delft,2020,Quantum Computing Hardware,Superconducting QPU foundry,superconducting,scaleup,active,Foundry services for superconducting quantum processors and VIO 3D vertical-interconnect chip technology.,"QuTech spinout (founders Matt Rijlaarsdam, Alessandro Bruno). Raised ~$178M Series B (2026)."
Qubitcore,https://qubitcore.co.jp/,Japan,Yokohama,2024,Quantum Computing Hardware,Distributed ion-trap quantum computer,trapped-ion,national-lab-or-spinout,active,OIST spin-out building Japan's first domestically developed distributed trapped-ion quantum computer.,"Founded July 2024; raised JPY 1.53B seed (Apr 2026, SBI-led); OIST IP (Takahashi unit); cloud prototype targeted 2026."
Qudoor / Qike Quantum (国开科量子),https://www.qudoor.com,China,Beijing,2019,Quantum Computing Hardware,Ion-trap quantum computers,trapped-ion,startup,active,"Chinese trapped-ion quantum computing firm building modular ion-trap machines plus quantum-comms devices, software and cloud.","Registered as Guokaike (Qike) Quantum, Beijing; founded Jan 2019. Released Tiansuan modular ion-trap engine and AbaQ prototype. Also operates in Hefei. Canonical site qudoor.com."
QUDORA Technologies,https://qudora.com,Germany,Braunschweig,2021,Quantum Computing Hardware,Quantum computers,trapped-ion,startup,active,Full-stack trapped-ion quantum computers and standalone quantum processors.,Offices in Braunschweig and Hannover; building 50-qubit DLR system.
QuEra Computing,https://www.quera.com,United States,"Boston, MA",2018,Quantum Computing Hardware,Full-stack neutral-atom,neutral-atom,scaleup,active,"Neutral-atom quantum computers (Aquila on Braket); Harvard/MIT spinout, leader in logical-qubit error correction.",Spun out of Lukin/Vuletic groups. Record logical-qubit demos; backed by Google and SoftBank.
QuiX Quantum,https://www.quixquantum.com,Netherlands,Enschede,2019,Quantum Computing Hardware,Photonic quantum processors,photonic,scaleup,active,Room-temperature photonic quantum processors; building a universal photonic quantum computer.,University of Twente spinout; uses TriPleX silicon-nitride waveguides.
